name,mag,e_mag
109vir,3.717,0.009
bd_75d325,9.54,0.008
eta1dor,5.699,0.002
etauma,1.859,0.004
feige110,11.825,0.009
hd009051,8.928,0.003
hd031128,9.113,0.007
hd128998,5.813,0.025
hd14943,5.892,0.008
hd159222,6.543,0.025
hd185975,8.139,0.025
hd200775,7.36,0.011
hd2811,7.519,0.005
hd60753,6.682,0.005
hd93521,7.014,0.009
ksi2ceti,4.269,0.007
lamlep,4.282,0.014
mucol,5.152,0.006
sigori,3.8,0.014
