name,mag,e_mag
lamlep,4.202,6.0E-4
ksi2ceti,4.2725,6.0E-4
delumi,4.3641,5.0E-4
mucol,5.071,5.0E-4
eta1dor,5.7068,6.0E-4
hd172728,5.7274,6.0E-4
hd128998,5.8369,6.0E-4
hd14943,5.9685,6.0E-4
hd158485,6.5421,6.0E-4
hd60753,6.6632,6.0E-4
hd165459,6.9097,8.0E-4
hd163466,6.9195,0.0012
hd93521,6.9456,0.0015
hd200775,7.4118,0.0018
hd2811,7.5802,0.0012
hd209458,7.7719,0.002
hd142331,8.86,0.0026
hd009051,9.0794,0.0015
bd_75d325,9.4412,0.0029
