name,mag,e_mag
1740346,12.460801,4.034610086246733E-4
agk_81d266,11.860327,3.565675970950076E-4
bd_75d325,9.485024,4.6465998311408826E-4
c26202,16.365602,2.6264436759199225E-4
delumi,4.3210907,8.600372191773075E-4
feige110,11.772521,4.7849021159262025E-4
feige34,11.106956,4.4550252076235394E-4
hd009051,8.688342,1.4683878409733564E-4
hd128998,5.8210897,3.6635642629564844E-4
hd165459,6.850032,2.6374190778591914E-4
hd172728,5.7176337,7.569829260846969E-4
hd200775,7.1798654,5.786039846583588E-4
hd209458,7.5212455,2.844692987641352E-4
hd2811,7.4997554,2.2208636797140218E-4
hd60753,6.656499,3.736750867879319E-4
hd93521,6.973444,4.671801526987065E-4
hs2027,16.624271,0.0011699434242723444
hz43b,13.592808,0.0011319010930350057
kf06t2,13.61969,5.585528132248811E-5
kf08t3,13.045042,7.285071264081745E-5
ksi2ceti,4.2553577,0.0021054746070755907
ngc2506g31,17.769499,9.399823032037782E-4
ngc6681_1,15.807894,0.0019588275966676617
ngc6681_2,16.223032,0.0027757678055240448
ngc6681_3,16.822275,0.011562308248908939
ngc6681_4,15.945346,0.0245676198574221
ngc6681_5,15.945346,0.0245676198574221
ngc6681_6,16.196072,0.0049021311492464855
ngc6681_7,14.692892,0.002358705472309074
ngc6681_8,16.959047,0.009873607411561692
ngc6681_9,15.775484,0.004690507387464609
ngc6681_10,15.775484,0.004690507387464609
ngc6681_11,13.806273,0.0018687399389144361
ngc6681_12,15.565497,0.01726748977161748
sf1615_001a,16.57472,6.189534127925355E-4
sigori,3.790166,0.010575858611064791
snap2,16.06417,3.971160051231261E-4
wd1057_719,14.701198,4.70545932598483E-4
wd1657_343,16.421526,6.597291759579297E-4
wdfs0122_30,18.664406,0.0012552156522125082
wdfs0248_33,18.521025,0.0019332584204427169
wdfs0639_57,18.375322,0.0014499709429681594
wdfs0956_38,18.002356,8.689830881958879E-4
wdfs1055_36,18.195625,9.398021871821274E-4
wdfs1110_17,18.047983,0.001090268786185121
wdfs1206_27,16.666716,7.1820360361674E-4
wdfs1214_45,17.978304,0.0012495836809550205
wdfs1302_10,17.239063,7.870921730690161E-4
wdfs1434_28,18.102802,0.001571870265931671
wdfs1514_00,15.883505,7.263471022259554E-4
wdfs1535_77,16.764978,6.220930374343487E-4
wdfs1557_55,17.691374,0.0011658119936990901
wdfs1814_78,16.744831,7.200087360684971E-4
wdfs1930_52,17.67307,0.0011913306425880106
wdfs2317_29,18.526045,0.0017315544678597758
wdfs2351_37,18.234518,0.0013710181455940237
