name,mag,e_mag
109vir,8.224467842195125,0.007318390989772716
18sco,8.501834203121335,0.02079202840556238
alpha_lyr,4.516042338158369,0.007651656326486567
bd11d3759,9.990704149944431,0.0783418385653345
delumi,8.82046934669397,0.008503211324513246
eta1dor,10.263268840193934,0.00585305907700584
etauma,7.029723835700928,0.006399749148104483
hd009051,11.188559301968375,0.16391465126377902
hd106252,10.430191364036457,0.04086416621985611
hd128998,10.305227388863445,0.04576276494470011
hd14943,9.928760521384934,0.02955878819639357
hd158485,10.633401385173537,0.024532961509101003
hd159222,9.544365839104346,0.043913072684463206
hd163466,10.737365516647658,0.03470658604030752
hd165459,10.96339703652966,0.050861673711516175
hd172728,10.313577680909724,0.013448210174177966
hd185975,10.826435412097835,0.09142630255817741
hd200654,11.652775818265452,0.04496301674372427
hd200775,6.266343447404043,0.018276931897380777
hd205905,9.708265989562028,0.03574852572803844
hd209458,10.820689071284363,0.07622331501957258
hd2811,11.736499743018967,0.053290347970918805
hd60753,11.336735349658955,0.08261059937714421
ksi2ceti,8.940483387960445,0.008285455781030203
lamlep,9.740512166044846,0.03771821378313722
mucol,10.727970244553656,0.03174675797848847
sigori,7.557972862697023,0.005914096751870268
