name,mag,e_mag
10lac,5.706,0.016
1732526,12.421,0.205
1743045,12.663,0.227
1757132,11.208,0.073
1802271,11.785,0.147
1805292,12.007,0.126
1808347,11.481,0.09
1812095,11.369,0.077
bd60d1753,9.664,0.033
bd_75d325,10.78,0.095
delumi,4.288,0.014
eta1dor,5.816,0.015
feige34,11.18,0.139
hd009051,6.64,0.015
hd101452,6.821,0.015
hd116405,8.509,0.021
hd128998,5.84,0.015
hd14943,5.477,0.015
hd158485,6.162,0.016
hd163466,6.359,0.015
hd165459,6.584,0.015
hd172728,5.859,0.015
hd180609,9.04,0.024
hd200775,1.03,0.068
hd209458,6.32,0.016
hd2811,7.04,0.016
hd37725,7.819,0.02
hd38949,6.412,0.016
hd55677,9.189,0.038
hd60753,6.942,0.016
hd93521,7.719,0.019
hz44,12.572,0.355
kf06t2,11.061,0.061
kf08t3,10.843,0.048
ksi2ceti,4.46,0.013
lamlep,5.223,0.016
mucol,6.19,0.014
p041c,10.456,0.057
p177d,11.822,0.139
p330e,11.432,0.167
sigori,1.972,0.007
